No,PM2.5,year,month,day,hour,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM
0,8.083333333333334,2013.0,3.0,1.0,11.5,9.333333333333334,3.0,12.666666666666666,345.8333333333333,60.791666666666664,0.5416666666666666,1029.6416666666667,-20.6375,0.0,3.1666666666666674
1,32.625,2013.0,3.0,2.0,11.5,36.791666666666664,20.208333333333332,47.583333333333336,920.8333333333334,40.416666666666664,0.08333333333333341,1029.4666666666667,-16.275000000000002,0.0,1.3458333333333334
2,76.5,2013.0,3.0,3.0,11.5,95.20833333333333,30.875,65.29166666666667,1749.9166666666667,24.541666666666668,5.029166666666668,1017.0375,-11.779166666666669,0.0,1.625
3,19.833333333333332,2013.0,3.0,4.0,11.5,31.916666666666668,13.083333333333334,43.291666666666664,791.5833333333334,55.125,8.9375,1020.1166666666668,-12.4375,0.0,2.091666666666667
4,114.95833333333333,2013.0,3.0,5.0,11.5,145.83333333333334,57.541666666666664,84.375,1783.125,74.54166666666667,6.45,1013.4874999999998,-7.220833333333331,0.0,1.1958333333333333
5,168.70833333333334,2013.0,3.0,6.0,11.5,186.08333333333334,86.86626666666666,95.68660416666667,2295.5833333333335,49.708333333333336,6.574999999999999,1009.9916666666668,-4.804166666666666,0.0,1.2
6,283.0,2013.0,3.0,7.0,11.5,301.625,88.79166666666667,120.125,3524.875,52.208333333333336,8.379166666666665,1004.8583333333335,-1.9166666666666667,0.0,1.1458333333333333
7,226.0,2013.0,3.0,8.0,11.5,246.375,69.43193333333333,90.27712083333334,2758.125,95.66666666666667,8.983333333333333,1002.0500000000001,-1.7208333333333332,0.0,2.3166666666666673
8,87.125,2013.0,3.0,9.0,11.5,469.7916666666667,50.208333333333336,61.666666666666664,1554.0833333333333,78.375,6.791666666666667,1006.7666666666668,-10.845833333333337,0.0,4.583333333333333
9,61.5,2013.0,3.0,10.0,11.5,331.125,40.833333333333336,59.041666666666664,1112.5,49.083333333333336,5.054166666666666,1023.1125000000001,-13.233333333333333,0.0,2.1500000000000004
10,124.91666666666667,2013.0,3.0,11.0,11.5,157.125,86.83333333333333,74.45833333333333,1603.875,64.91666666666667,6.483333333333333,1016.3749999999999,-6.841666666666669,0.0,1.5999999999999999
