No,PM2.5,month,day,hour,SO2,NO2,CO,O3,PM10,PRES,TEMP,DEWP,RAIN,WSPM
0,7.541666666666667,3.0,1.0,11.5,15.416666666666666,10.666666666666666,329.1666666666667,78.75,12.375,1023.7833333333334,0.016666666666666257,-21.941666666666666,0.0,2.933333333333333
1,32.708333333333336,3.0,2.0,11.5,40.0112,49.8534875,749.9583333333334,35.00501666666667,41.375,1023.6875,-0.9916666666666668,-16.24166666666667,0.0,1.5750000000000004
2,57.625,3.0,3.0,11.5,38.291666666666664,47.25,945.8333333333334,27.833333333333332,80.75,1011.3874999999999,3.912500000000001,-12.475,0.0,1.7708333333333337
3,20.75,3.0,4.0,11.5,25.708333333333332,35.125,524.9583333333334,55.916666666666664,45.875,1014.4874999999998,7.108333333333334,-13.100000000000003,0.0,1.8875
4,50.083333333333336,3.0,5.0,11.5,50.5,66.79166666666667,1320.7083333333333,87.95833333333333,121.33333333333333,1007.9208333333332,5.683333333333334,-8.645833333333336,0.0,1.3250000000000002
5,167.625,3.0,6.0,11.5,65.79166666666667,86.58333333333333,2095.625,80.375,195.375,1004.4749999999999,5.466666666666668,-5.595833333333334,0.0,1.2374999999999998
6,206.41666666666666,3.0,7.0,11.5,64.0,121.66666666666667,2466.375,63.583333333333336,267.75,999.4,7.629166666666666,-3.9916666666666667,0.0,1.3333333333333337
7,194.875,3.0,8.0,11.5,58.55776666666666,88.81046250000001,2299.5833333333335,85.79166666666667,232.25,996.5166666666668,8.816666666666668,-2.754166666666667,0.0,2.316666666666666
8,52.125,3.0,9.0,11.5,29.333333333333332,33.333333333333336,812.5,102.5,142.75,1001.3000000000002,6.195833333333332,-11.899999999999999,0.0,3.970833333333333
9,43.625,3.0,10.0,11.5,32.25,46.583333333333336,762.5,90.54166666666667,68.91666666666667,1017.3249999999999,3.733333333333334,-14.141666666666664,0.0,1.7416666666666665
10,119.54166666666667,3.0,11.0,11.5,73.0,72.375,1295.6666666666667,70.95833333333333,141.875,1010.8125000000001,4.879166666666666,-8.554166666666665,0.0,1.3958333333333333
11,106.54166666666667,3.0,12.0,11.5,29.833333333333332,81.75,1208.1666666666667,41.875,104.66666666666667,1005.8583333333332,4.937499999999999,-0.7083333333333334,0.05833333333333334,1.6291666666666667
12,10.583333333333334,3.0,13.0,11.5,15.083333333333334,19.25,312.5,85.45833333333333,16.458333333333332,1019.5625,2.4458333333333333,-13.341666666666667,0.0,2.7458333333333336
13,108.0,3.0,14.0,11.5,32.458333333333336,78.20833333333333,1470.5833333333333,79.25,120.79166666666667,1018.5666666666667,1.9958333333333336,-4.954166666666667,0.0,1.5624999999999998
14,220.83333333333334,3.0,15.0,11.5,49.583333333333336,102.04166666666667,2012.25,45.375,223.95833333333334,1011.4250000000001,4.204166666666667,-2.3000000000000003,0.0,1.1583333333333332
15,236.0,3.0,16.0,11.5,48.375,83.08333333333333,2066.4583333333335,77.70833333333333,223.91666666666666,1013.6291666666667,8.200000000000001,-0.9583333333333334,0.0,1.7458333333333338
16,280.2916666666667,3.0,17.0,11.5,65.83333333333333,105.54166666666667,2495.5,99.66666666666667,285.9166666666667,998.9708333333333,8.091666666666667,1.1541666666666666,0.0,1.3666666666666665
17,95.41666666666667,3.0,18.0,11.5,10.25,32.708333333333336,799.9166666666666,87.79166666666667,115.875,998.1833333333333,7.283333333333334,-10.774999999999999,0.0,3.6958333333333333
18,29.458333333333332,3.0,19.0,11.5,4.375,29.208333333333332,479.1666666666667,40.0,14.958333333333334,1005.9624999999997,0.9666666666666667,-0.15416666666666667,0.33749999999999997,2.4166666666666665
19,35.75,3.0,20.0,11.5,6.625,33.083333333333336,591.6666666666666,54.625,32.958333333333336,1013.7958333333331,0.4375,-4.208333333333334,0.14583333333333334,1.8916666666666666
20,122.16666666666667,3.0,21.0,11.5,20.541666666666668,62.5,1358.125,27.958333333333332,129.875,1001.9833333333335,3.070833333333333,-3.1166666666666667,0.0,1.4375
21,64.875,3.0,22.0,11.5,20.125,33.791666666666664,637.5,59.416666666666664,107.0,1008.5833333333335,6.2875000000000005,-8.466666666666669,0.0,2.9916666666666667
22,40.0,3.0,23.0,11.5,28.666666666666668,22.166666666666668,795.8333333333334,43.75,52.541666666666664,1005.7041666666668,4.079166666666667,-8.866666666666667,0.0,2.4125
